date,YEAR,MO,DY,HR,ALLSKY_SFC_SW_DIFF,PRECTOTCORR,SZA,RH2M,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,WS10M,PS,T2M,ALLSKY_SRF_ALB
2024-02-05 00:00:00,2024,2,5,0,9.63,6.59,88.93,82.76,10.38,7.4,1.09,86.64,-6.45,0.36
2024-02-05 01:00:00,2024,2,5,1,0.0,4.94,90.0,80.55,0.0,0.0,0.84,86.58,-6.31,-999.0
2024-02-05 02:00:00,2024,2,5,2,0.0,4.07,90.0,79.25,0.0,0.0,0.52,86.52,-6.13,-999.0
2024-02-05 03:00:00,2024,2,5,3,0.0,3.17,90.0,78.75,0.0,0.0,0.34,86.45,-6.01,-999.0
2024-02-05 04:00:00,2024,2,5,4,0.0,1.63,90.0,78.4,0.0,0.0,0.72,86.38,-6.08,-999.0
2024-02-05 05:00:00,2024,2,5,5,0.0,0.52,90.0,82.35,0.0,0.0,0.96,86.31,-6.77,-999.0
2024-02-05 06:00:00,2024,2,5,6,0.0,0.38,90.0,89.66,0.0,0.0,1.12,86.25,-7.59,-999.0
2024-02-05 07:00:00,2024,2,5,7,0.0,0.17,90.0,89.83,0.0,0.0,1.42,86.22,-8.47,-999.0
2024-02-05 08:00:00,2024,2,5,8,0.0,0.16,90.0,92.12,0.0,0.0,2.06,86.19,-9.55,-999.0
2024-02-05 09:00:00,2024,2,5,9,0.0,0.12,90.0,94.17,0.0,0.0,2.72,86.16,-10.12,-999.0
2024-02-05 10:00:00,2024,2,5,10,0.0,0.08,90.0,90.87,0.0,0.0,3.21,86.11,-10.05,-999.0
2024-02-05 11:00:00,2024,2,5,11,0.0,0.05,90.0,88.37,0.0,0.0,3.45,86.07,-10.01,-999.0
2024-02-05 12:00:00,2024,2,5,12,0.0,0.03,90.0,88.53,0.0,0.0,3.34,86.05,-10.1,-999.0
2024-02-05 13:00:00,2024,2,5,13,0.0,0.03,90.0,88.96,0.0,0.0,3.24,86.06,-10.29,-999.0
2024-02-05 14:00:00,2024,2,5,14,0.0,0.07,90.0,88.76,0.0,0.0,3.14,86.09,-10.4,-999.0
2024-02-05 15:00:00,2024,2,5,15,14.77,0.17,88.2,87.46,19.6,13.07,3.12,86.14,-10.02,0.36
2024-02-05 16:00:00,2024,2,5,16,57.97,0.15,80.97,82.89,142.98,72.93,2.52,86.15,-7.5,0.37
2024-02-05 17:00:00,2024,2,5,17,115.66,0.08,74.62,79.86,269.65,171.88,2.03,86.15,-4.17,0.37
2024-02-05 18:00:00,2024,2,5,18,153.6,0.08,70.06,77.76,361.05,253.57,1.75,86.14,-2.64,0.42
2024-02-05 19:00:00,2024,2,5,19,214.47,0.26,67.73,77.27,409.08,287.9,1.55,86.13,-1.73,0.36
2024-02-05 20:00:00,2024,2,5,20,175.17,0.7,67.89,77.72,403.48,254.27,1.63,86.13,-1.44,0.36
2024-02-05 21:00:00,2024,2,5,21,134.29,1.18,70.51,79.42,349.45,171.05,1.92,86.15,-1.62,0.36
2024-02-05 22:00:00,2024,2,5,22,103.13,1.73,75.31,82.36,251.38,119.5,2.24,86.18,-2.13,0.36
2024-02-05 23:00:00,2024,2,5,23,76.83,2.02,81.86,86.84,122.72,81.72,2.37,86.23,-3.27,0.41
2024-02-06 00:00:00,2024,2,6,0,9.9,2.94,88.79,90.49,11.6,7.9,2.61,86.29,-5.11,0.42
2024-02-06 01:00:00,2024,2,6,1,0.0,4.28,90.0,93.13,0.0,0.0,2.76,86.36,-6.27,-999.0
2024-02-06 02:00:00,2024,2,6,2,0.0,5.81,90.0,95.2,0.0,0.0,2.66,86.4,-6.76,-999.0
2024-02-06 03:00:00,2024,2,6,3,0.0,5.81,90.0,96.55,0.0,0.0,2.55,86.4,-7.02,-999.0
2024-02-06 04:00:00,2024,2,6,4,0.0,4.46,90.0,97.31,0.0,0.0,2.51,86.38,-7.26,-999.0
2024-02-06 05:00:00,2024,2,6,5,0.0,3.43,90.0,97.72,0.0,0.0,2.39,86.36,-7.51,-999.0
2024-02-06 06:00:00,2024,2,6,6,0.0,0.53,90.0,97.87,0.0,0.0,2.25,86.35,-7.63,-999.0
2024-02-06 07:00:00,2024,2,6,7,0.0,0.42,90.0,97.34,0.0,0.0,2.15,86.33,-7.52,-999.0
2024-02-06 08:00:00,2024,2,6,8,0.0,0.33,90.0,96.65,0.0,0.0,2.09,86.32,-7.39,-999.0
2024-02-06 09:00:00,2024,2,6,9,0.0,0.3,90.0,96.55,0.0,0.0,2.0,86.3,-7.38,-999.0
2024-02-06 10:00:00,2024,2,6,10,0.0,0.37,90.0,96.18,0.0,0.0,1.87,86.28,-7.44,-999.0
2024-02-06 11:00:00,2024,2,6,11,0.0,0.44,90.0,95.64,0.0,0.0,1.72,86.25,-7.43,-999.0
2024-02-06 12:00:00,2024,2,6,12,0.0,0.41,90.0,95.16,0.0,0.0,1.63,86.22,-7.53,-999.0
2024-02-06 13:00:00,2024,2,6,13,0.0,0.39,90.0,94.84,0.0,0.0,1.7,86.19,-7.81,-999.0
2024-02-06 14:00:00,2024,2,6,14,0.0,0.31,90.0,94.68,0.0,0.0,1.76,86.16,-8.17,-999.0
2024-02-06 15:00:00,2024,2,6,15,15.48,0.25,88.03,93.64,20.27,15.77,1.96,86.15,-8.21,0.41
2024-02-06 16:00:00,2024,2,6,16,59.57,0.31,80.72,89.86,142.77,66.78,2.07,86.12,-6.08,0.43
